time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,shortwave_radiation_sum,precipitation_sum
2024-07-08,28.4,19.6,23.8,82,8.7,23.71,2.9
2024-07-09,30.7,20.4,25.8,76,7.7,25.87,0.0
2024-07-10,31.8,20.9,26.7,76,8.7,26.22,0.0
2024-07-11,32.8,21.2,27.0,70,8.2,26.61,0.0
2024-07-12,29.0,21.0,25.1,79,23.1,22.44,2.8
2024-07-13,29.7,19.8,24.5,75,12.1,24.31,0.1
2024-07-14,30.4,19.3,24.7,72,10.3,26.9,0.0
2024-07-15,32.2,19.5,26.0,66,9.8,26.63,0.0
2024-07-16,32.4,21.2,26.8,70,12.8,25.39,0.0
2024-07-17,33.1,22.1,27.4,66,9.6,25.44,0.0
2024-07-18,32.9,22.3,28.1,68,12.8,25.26,0.0
2024-07-19,34.3,23.4,28.5,66,18.9,23.95,4.1
2024-07-20,32.0,22.1,26.7,65,9.2,25.74,11.1
2024-07-21,32.3,21.7,26.6,67,11.4,22.82,1.1
2024-07-22,33.0,20.5,26.4,73,14.4,24.83,9.8
2024-07-23,32.3,22.3,27.6,67,10.4,24.35,0.0
2024-07-24,33.2,22.0,27.4,62,16.2,23.89,0.1
2024-07-25,32.0,21.1,27.1,59,13.6,25.29,4.1
2024-07-26,32.7,22.4,27.9,55,11.9,24.89,0.1
2024-07-27,32.9,22.6,28.1,59,8.3,24.92,0.0
2024-07-28,34.9,23.8,29.7,59,14.1,25.47,0.1
2024-07-29,32.8,23.8,28.5,62,19.9,24.42,0.0
2024-07-30,33.7,24.2,28.9,55,12.2,24.34,0.0
2024-07-31,34.1,24.3,29.1,55,11.5,24.17,0.0
2024-08-01,34.1,24.4,28.6,71,16.2,22.29,0.8
2024-08-02,32.3,21.9,26.8,72,16.3,19.66,3.0
2024-08-03,30.9,23.0,26.2,71,28.2,21.24,5.7
2024-08-04,32.0,21.5,27.1,61,12.6,22.35,0.0
2024-08-05,33.0,23.3,28.3,54,13.8,23.93,0.0
2024-08-06,33.1,23.4,27.8,63,12.1,20.99,0.6
2024-08-07,31.4,21.8,25.0,81,29.7,17.89,4.8
2024-08-08,31.7,20.1,25.9,76,7.3,24.12,0.0
2024-08-09,33.0,22.0,27.7,68,7.9,23.25,0.0
2024-08-10,34.3,23.1,28.9,64,9.6,23.48,0.0
2024-08-11,34.8,23.9,29.7,61,8.7,22.22,0.0
2024-08-12,34.6,24.4,29.0,67,8.0,20.74,0.9
2024-08-13,34.8,23.2,28.8,69,10.8,20.46,0.5
2024-08-14,32.8,23.0,28.1,63,12.1,19.97,1.0
2024-08-15,32.0,20.7,25.5,67,14.0,17.8,0.0
