time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_mean,shortwave_radiation_sum,precipitation_sum
2024-04-25,14.4,5.1,9.7,75,2.6391666666666667,23.51,0.1
2024-04-26,16.6,6.0,10.7,78,2.7108333333333334,20.65,1.8
2024-04-27,17.5,7.1,12.6,81,2.4833333333333334,16.71,0.3
2024-04-28,20.5,10.9,15.0,78,3.188333333333333,14.77,0.3
2024-04-29,21.6,9.2,15.5,78,1.6283333333333332,21.86,0.0
2024-04-30,24.1,9.4,17.0,73,2.0366666666666666,23.45,0.0
2024-05-01,17.5,12.6,14.9,82,2.4258333333333333,6.76,14.5
2024-05-02,17.3,10.1,14.3,81,3.5095833333333335,12.24,28.3
2024-05-03,19.4,7.4,13.5,79,2.3445833333333335,21.18,3.4
2024-05-04,20.1,11.5,15.4,80,1.3583333333333334,21.9,4.4
2024-05-05,22.3,10.1,16.1,73,1.8541666666666667,24.05,0.0
2024-05-06,18.6,11.3,15.3,79,2.02875,12.28,1.2
2024-05-07,18.2,12.1,14.8,86,1.6812500000000001,14.88,6.2
2024-05-08,20.8,11.8,15.6,85,1.4337499999999999,18.42,4.7
2024-05-09,22.9,13.2,17.4,80,1.8333333333333333,22.08,0.1
2024-05-10,23.6,12.1,17.9,73,1.4929166666666667,25.05,0.6
2024-05-11,24.9,12.0,18.6,68,1.5270833333333333,25.25,0.0
2024-05-12,25.6,13.2,19.6,67,1.60875,24.61,0.0
2024-05-13,22.5,14.8,17.6,81,1.49,14.72,4.5
2024-05-14,23.4,13.9,18.2,79,3.0245833333333336,22.26,0.3
2024-05-15,16.8,14.4,15.4,91,5.81625,7.32,66.3
2024-05-16,19.7,12.7,15.6,88,3.6458333333333335,11.19,17.9
2024-05-17,22.1,11.3,16.1,78,1.8208333333333335,23.87,0.5
2024-05-18,22.7,11.5,17.2,75,1.6108333333333331,24.77,0.0
2024-05-19,23.6,13.0,18.6,77,1.2437500000000001,24.23,1.0
2024-05-20,22.9,14.5,18.0,85,2.0220833333333332,18.82,17.4
2024-05-21,23.1,15.0,17.9,81,3.5391666666666666,16.5,31.2
2024-05-22,21.2,13.4,17.2,82,1.6895833333333334,19.36,5.1
2024-05-23,19.4,12.2,15.9,88,1.4258333333333333,18.09,10.3
2024-05-24,21.3,12.3,16.2,86,1.3791666666666667,20.93,1.4
2024-05-25,20.1,13.1,16.6,81,1.1020833333333333,19.74,0.6
2024-05-26,24.7,12.0,18.7,75,1.66375,26.22,0.1
2024-05-27,25.2,14.3,19.5,76,1.8816666666666666,24.08,1.9
2024-05-28,23.5,15.8,19.4,82,1.5795833333333331,22.55,3.1
2024-05-29,24.2,15.5,20.2,76,1.7504166666666665,23.91,0.1
2024-05-30,23.5,16.5,19.2,80,2.1366666666666667,20.29,4.5
2024-05-31,19.3,13.7,16.5,78,3.295833333333333,18.34,58.0
2024-06-01,24.8,11.3,18.2,68,2.3225000000000002,26.1,0.1
2024-06-02,22.5,13.6,17.7,82,1.8225,20.37,8.6
2024-06-03,22.9,14.3,18.3,80,1.5875000000000001,21.32,6.9
2024-06-04,25.0,14.2,18.9,81,1.5275,23.22,2.2
2024-06-05,25.8,14.9,20.7,78,1.2891666666666668,25.73,0.0
2024-06-06,27.2,15.9,21.2,76,1.5833333333333333,26.33,0.0
2024-06-07,27.6,16.9,22.5,77,1.7058333333333333,25.73,0.0
2024-06-08,27.5,18.3,23.1,78,1.6050000000000002,20.59,0.1
2024-06-09,26.5,18.5,21.9,82,1.8495833333333334,17.52,13.8
2024-06-10,26.0,17.9,21.2,82,2.50375,21.47,19.5
2024-06-11,25.0,17.0,20.1,80,2.3683333333333336,19.12,11.2
2024-06-12,23.0,15.9,18.3,86,1.8866666666666667,19.36,12.9
2024-06-13,22.1,14.8,17.8,78,1.6641666666666666,23.2,4.0
2024-06-14,24.8,14.0,19.4,73,2.0208333333333335,22.72,0.2
2024-06-15,26.2,16.2,21.2,70,2.1037500000000002,23.97,0.0
2024-06-16,25.6,15.8,20.8,75,1.4379166666666665,26.04,0.1
2024-06-17,27.2,16.7,22.1,71,1.375,27.49,0.0
2024-06-18,29.1,17.6,23.5,74,1.4016666666666666,26.81,0.0
2024-06-19,29.5,18.7,24.5,76,1.2979166666666666,25.45,0.0
2024-06-20,29.1,21.5,25.3,74,2.5316666666666667,20.71,0.0
2024-06-21,29.1,18.8,24.2,81,2.0412500000000002,23.7,1.8
2024-06-22,28.5,18.4,22.9,75,2.8854166666666665,26.24,0.0
2024-06-23,20.3,17.1,18.7,89,2.91625,9.67,19.9
2024-06-24,24.3,16.4,19.3,88,2.21625,14.43,39.7
2024-06-25,23.6,17.0,19.9,88,1.9525,17.56,21.1
2024-06-26,25.6,17.0,21.1,82,0.7675000000000001,23.69,2.0
2024-06-27,29.4,17.7,23.6,76,1.5279166666666668,27.45,0.0
2024-06-28,30.6,20.0,25.3,74,1.3666666666666665,27.33,0.0
2024-06-29,30.6,22.3,26.2,80,2.9045833333333335,21.72,0.2
2024-06-30,28.7,21.3,24.8,72,2.6220833333333333,25.83,0.1
2024-07-01,26.6,19.6,22.8,79,2.1966666666666668,21.61,4.3
2024-07-02,27.1,17.4,22.4,79,1.29875,24.69,1.5
2024-07-03,22.1,18.3,20.1,80,2.984166666666667,16.08,0.9
2024-07-04,25.9,15.5,21.2,75,1.0758333333333334,26.68,0.2
2024-07-05,28.3,16.9,22.8,74,1.61125,26.19,0.0
2024-07-06,28.8,18.7,23.6,75,1.9375,25.15,0.0
2024-07-07,27.2,19.5,22.7,81,1.8829166666666666,19.29,5.2
2024-07-08,28.4,19.6,23.8,82,1.3533333333333335,23.71,2.9
2024-07-09,30.7,20.4,25.8,76,1.4041666666666668,25.87,0.0
2024-07-10,31.8,20.9,26.7,76,1.7154166666666668,26.22,0.0
2024-07-11,32.8,21.2,27.0,70,1.4816666666666667,26.61,0.0
2024-07-12,29.0,21.0,25.1,79,2.3383333333333334,22.44,2.8
2024-07-13,29.7,19.8,24.5,75,1.7195833333333335,24.31,0.1
2024-07-14,30.4,19.3,24.7,72,1.7545833333333334,26.9,0.0
2024-07-15,32.2,19.5,26.0,66,1.7175,26.63,0.0
2024-07-16,32.4,21.2,26.8,70,2.3091666666666666,25.39,0.0
2024-07-17,33.1,22.1,27.4,66,1.7837500000000002,25.44,0.0
2024-07-18,32.9,22.3,28.1,68,1.7708333333333333,25.26,0.0
2024-07-19,34.3,23.4,28.5,66,1.6083333333333334,23.95,4.1
2024-07-20,32.0,22.1,26.7,65,1.6224999999999998,25.74,11.1
2024-07-21,32.3,21.7,26.6,67,2.0879166666666666,22.82,1.1
2024-07-22,33.0,20.5,26.4,73,2.214583333333333,24.83,9.8
2024-07-23,32.3,22.3,27.6,67,1.67375,24.35,0.0
2024-07-24,33.2,22.0,27.4,62,2.3204166666666666,23.89,0.1
2024-07-25,32.0,21.1,27.1,59,2.7116666666666664,25.29,4.1
2024-07-26,32.7,22.4,27.9,55,2.232083333333333,24.89,0.1
2024-07-27,32.9,22.6,28.1,59,1.6658333333333335,24.92,0.0
2024-07-28,34.9,23.8,29.7,59,2.0520833333333335,25.47,0.1
2024-07-29,32.8,23.8,28.5,62,2.5241666666666664,24.42,0.0
2024-07-30,33.7,24.2,28.9,55,2.4766666666666666,24.34,0.0
2024-07-31,34.1,24.3,29.1,55,1.66875,24.17,0.0
2024-08-01,34.1,24.4,28.6,71,1.3895833333333334,22.29,0.8
2024-08-02,32.3,21.9,26.8,72,1.8929166666666666,19.66,3.0
2024-08-03,30.9,23.0,26.2,71,2.055,21.24,5.7
2024-08-04,32.0,21.5,27.1,61,1.8866666666666667,22.35,0.0
2024-08-05,33.0,23.3,28.3,54,2.2870833333333334,23.93,0.0
2024-08-06,33.1,23.4,27.8,63,2.1008333333333336,20.99,0.6
2024-08-07,31.4,21.8,25.0,81,1.7179166666666665,17.89,4.8
2024-08-08,31.7,20.1,25.9,76,1.1641666666666666,24.12,0.0
2024-08-09,33.0,22.0,27.7,68,1.28875,23.25,0.0
2024-08-10,34.3,23.1,28.9,64,1.76625,23.48,0.0
2024-08-11,34.8,23.9,29.7,61,1.4604166666666665,22.22,0.0
2024-08-12,34.6,24.4,29.0,67,1.1745833333333333,20.74,0.9
2024-08-13,34.8,23.2,28.8,69,1.4266666666666667,20.46,0.5
2024-08-14,32.8,23.0,28.1,63,1.8383333333333332,19.97,1.0
2024-08-15,32.0,20.7,25.5,67,2.112083333333333,17.8,0.0
2024-08-16,32.6,20.5,26.5,64,1.6391666666666669,21.01,0.0
2024-08-17,32.5,21.1,26.6,62,1.73375,18.62,0.0
2024-08-18,27.2,21.3,23.7,78,1.3545833333333333,13.49,2.6
2024-08-19,26.7,19.4,22.0,87,1.9295833333333334,12.13,13.7
2024-08-20,29.5,19.4,23.9,79,1.7004166666666667,20.43,0.6
2024-08-21,31.7,21.0,26.1,72,1.5199999999999998,21.11,0.1
2024-08-22,30.3,21.6,26.0,70,2.776666666666667,20.41,0.5
2024-08-23,31.8,21.1,26.6,71,0.9754166666666667,21.24,0.0
2024-08-24,33.1,21.3,27.2,65,1.1466666666666667,21.41,0.0
2024-08-25,33.0,21.3,27.1,58,2.2754166666666666,21.27,0.0
