time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,shortwave_radiation_sum,precipitation_sum,es,ea,vpd,delta,giorno_anno,ra,rso,rns,rapporto_nuvolosita,rnl,rn,u2,et0,giorni_da_semina,kc,etc
2024-04-25,14.4,5.1,9.7,75,13.9,23.51,0.1,1.2594976462685041,0.9446232347013781,0.31487441156712603,0.0808391844296233,116,35.7145587022178,26.818062129495345,18.102700000000002,0.8766479802484672,5.3473110152405186,12.755388984759485,10.396519944834424,2.908792595159912,0,0.3,0.8726377785479736
2024-04-26,16.6,6.0,10.7,78,15.7,20.65,1.8,1.412130765517631,1.1014619971037523,0.3106687684138787,0.08573690348100017,117,35.92817290215778,26.97846503223028,15.9005,0.7654253114597189,4.24414506939341,11.65635493060659,11.742831880136722,2.8153601048192707,1,0.3,0.8446080314457812
2024-04-27,17.5,7.1,12.6,81,12.8,16.71,0.3,1.504372811512165,1.2185419773248538,0.28583083418731126,0.09574213933593977,118,36.13863523632951,27.13650119895983,12.866700000000002,0.6157757729150621,2.9118186884796837,9.954881311520317,9.573773762149685,2.538136918316987,2,0.3,0.7614410754950961
2024-04-28,20.5,10.9,15.0,78,18.1,14.77,0.3,1.8578275165258287,1.4491054628901465,0.40872205363568215,0.10978677277584367,119,36.34589697928051,27.292134041741736,11.3729,0.5411815718554709,2.2314185903145187,9.14148140968548,13.53791446053979,3.231762467313901,3,0.3,0.9695287401941703
2024-04-29,21.6,9.2,15.5,78,8.8,21.86,0.0,1.8719086447674873,1.4600887429186402,0.4118199018488471,0.11292310671892747,120,36.549910858874846,27.44532806392912,16.8322,0.7964925742217739,4.223517179660865,12.608682820339135,6.581969461477909,3.4785269021064207,4,0.3,1.043558070631926
2024-04-30,24.1,9.4,17.0,73,13.0,23.45,0.0,2.090664730856938,1.5261852535255647,0.5644794773313733,0.12279264420686307,121,36.75063103165141,27.596048841667045,18.0565,0.8497593309297612,4.629938583275199,13.426561416724802,9.723363977183274,4.410257306683603,5,0.3,1.3230771920050808
2024-05-01,17.5,12.6,14.9,82,16.9,6.76,14.5,1.7295075868827268,1.418196221243836,0.31131136563889084,0.10916847143933489,122,36.94801305713822,27.744263004605088,5.2052,0.24365397627891403,-0.12354694695882784,5.328746946958828,12.640373170338254,2.2872386930115427,6,0.3,0.6861716079034628
2024-05-02,17.3,10.1,14.3,81,20.0,12.24,28.3,1.6055461903150055,1.3004924141551546,0.30505377615985085,0.10552045872401396,123,37.14201387127406,27.88993821593969,9.424800000000001,0.43886794962509384,1.4531746447308909,7.9716253552691105,14.959021503358883,2.5345554197330515,7,0.3,0.7603666259199154
2024-05-03,19.4,7.4,13.5,79,15.8,21.18,3.4,1.6412710580680776,1.2966041358737814,0.3446669221942962,0.10081806418679075,124,37.33259175908975,28.033043151900497,16.3086,0.7555369527751076,4.010541956316949,12.29805804368305,11.817626987653517,3.11908173615072,8,0.3,0.935724520845216
2024-05-04,20.1,11.5,15.4,80,10.2,21.9,4.4,1.8548904546845881,1.4839123637476705,0.3709780909369176,0.11228982446075066,125,37.5197063268007,28.173547480794646,16.863,0.7773249007754099,4.056666390161726,12.806333609838273,7.62910096671303,3.3375750844055165,9,0.3,1.001272525321655
2024-05-05,22.3,10.1,16.1,73,8.7,24.05,0.0,1.9644400377342393,1.4340412275459946,0.5303988101882446,0.11678685949476648,126,37.70331847346232,28.311421841722854,18.5185,0.84948047238508,4.732898218210236,13.785601781789763,6.507174353961114,4.1465170330452805,10,0.3,1.2439551099135842
